Index,Red1,Red2,Red3,Red4,Red5,Red6,Blue,Price
24054,8,13,20,25,31,32,3,2201149174
24053,7,14,21,22,28,33,7,2170866334
24052,7,10,11,15,17,21,3,2202835275
24051,5,9,13,20,23,28,6,2178038182
24050,1,3,7,10,22,33,2,2207601984
24049,12,15,17,23,26,32,11,2211638785
24048,2,9,15,19,26,28,2,2179284324
24047,7,8,21,26,29,30,15,2162261379
24046,2,6,10,11,17,29,15,2226410188
24045,2,8,19,23,24,26,3,2197753504
24044,2,6,17,25,32,33,6,2217466686
24043,4,6,7,14,15,24,8,2195139699
24042,2,4,5,14,26,32,14,2209117678
24041,2,9,12,22,25,33,16,2126335214
24040,11,14,18,19,23,26,2,2403776297
24039,2,6,12,29,30,31,10,2381952370
24038,8,10,18,23,27,31,2,2387854012
24037,1,4,5,6,12,14,13,2327021985
24036,2,8,9,12,21,31,2,2277496852
24035,5,7,14,17,22,32,6,2285864323
24034,2,9,12,19,21,31,4,2343160918
24033,6,10,11,18,20,32,5,2373391338
24032,1,3,4,11,12,21,16,2337606504
24031,9,10,13,25,30,32,2,2337825170
24030,1,8,22,25,29,33,10,2432825172
24029,12,18,23,25,28,33,4,2369816985
24028,3,7,8,11,18,19,5,2284805181
24027,2,6,13,27,28,32,13,2297410268
24026,4,7,18,19,20,25,6,2274290656
24025,8,15,21,22,25,33,13,2283708260
24024,3,7,21,24,26,30,10,2259827583
24023,1,10,22,25,28,32,10,2249424817
24022,2,9,11,14,18,26,6,2211765504
24021,4,6,16,17,23,24,11,2303552638
24020,3,8,12,14,17,33,8,2292837056
24019,5,11,12,16,17,20,8,2240147827
24018,6,15,17,24,28,29,16,2255582139
24017,4,17,19,20,25,32,4,2249152255
24016,7,12,20,24,32,33,4,2182164460
24015,3,8,17,18,20,30,15,279974069
24014,1,2,10,22,24,25,13,277115827
24013,1,7,10,14,21,25,7,2740765858
24012,1,3,7,18,22,28,15,276538231
24011,8,12,16,20,27,31,6,272959079
24010,11,16,20,21,23,24,4,277312233
24009,1,4,7,10,17,23,14,2725560627
24008,8,20,21,23,27,30,13,268026083
24007,4,5,6,7,20,22,15,264421978
24006,7,18,20,21,26,32,5,260662446
24005,5,6,20,23,25,32,3,259310461
24004,9,13,17,18,21,27,4,254393451
24003,1,5,8,13,32,33,3,2538504530
24002,4,9,10,17,19,20,9,254078516
24001,3,7,16,26,27,32,16,265324173
23151,1,15,16,20,25,27,5,2626575547
23150,10,17,25,26,30,33,5,259936699
23149,2,10,19,24,26,33,15,2575173968
23148,3,5,7,9,19,20,8,252759937
23147,5,6,14,16,19,32,12,26781440
23146,2,3,6,11,20,32,9,266172578
23145,7,10,21,22,23,24,11,265800935
23144,12,16,17,22,25,27,8,262478277
23143,5,7,9,16,23,30,15,2625542196
23142,2,8,20,21,27,33,14,2715709193
23141,1,8,11,12,21,23,3,2628135529
23140,3,4,11,14,30,31,5,2606606136
23139,12,14,19,21,27,31,11,259951387
23138,3,22,28,30,31,33,4,254865210
23137,3,12,17,19,23,27,11,246777508
23136,3,5,10,21,22,26,10,2438516168
23135,5,6,11,13,28,30,7,248154233
23134,5,8,9,17,22,33,4,2554169624
23133,4,5,10,14,22,25,3,2625290582
23132,3,9,11,15,25,27,1,263957795
23131,6,7,14,20,26,32,1,269128720
23130,4,10,17,22,23,32,16,2644338946
23129,8,9,12,17,32,33,4,255385902
23128,7,16,20,21,27,33,1,250334670
23127,3,8,19,22,26,32,14,2483723142
23126,10,24,26,28,29,31,16,248111082
23125,11,14,15,27,30,33,4,2449910182
23124,2,3,17,18,25,30,11,240087264
23123,10,13,15,22,29,32,15,2392642136
23122,7,8,14,18,20,30,5,239623423
23121,2,12,16,25,30,31,12,239446262
23120,3,8,13,24,27,29,8,237274260
23119,1,2,3,19,21,28,15,240411262
23118,1,2,11,19,25,29,4,23546565
23117,2,11,14,17,18,28,8,234466896
23116,2,8,9,13,24,27,12,235830268
23115,2,7,16,21,26,27,16,2367018008
23114,7,9,15,16,17,26,9,237177951
23113,1,2,13,18,25,27,3,237427909
23112,9,12,13,22,24,31,4,2367099281
23111,5,6,12,17,20,33,9,2374902077
23110,2,6,20,25,29,33,16,23393916
23109,6,8,10,13,16,28,13,2303849540
23108,1,3,6,8,18,24,9,2257216493
23107,3,7,18,25,29,33,14,228412842
23106,7,9,10,20,22,24,7,226642856
23105,1,3,5,26,30,32,16,224689358
23104,10,19,23,25,30,31,12,218351006
23103,5,6,13,24,25,29,15,2132500020
23102,1,9,10,13,21,28,10,207554185
23101,1,5,9,15,18,26,4,2081108979
23100,5,6,12,15,23,25,4,203127838
23099,9,11,14,19,27,33,5,208641640
23098,2,10,11,14,21,27,11,211825957
23097,1,9,14,19,29,30,15,212884388
23096,8,11,18,26,31,32,15,214695364
23095,3,8,16,17,22,26,11,212557404
23094,6,10,12,14,30,31,12,219013827
23093,10,21,24,25,27,32,7,220213252
23092,3,12,24,25,32,33,13,21394761
23091,16,20,22,26,30,32,16,21106732
23090,1,2,9,26,30,31,7,20909046
23089,8,13,15,27,28,31,11,2063540939
23088,1,14,18,26,31,33,5,211542511
23087,2,9,15,17,28,33,1,213749814
23086,8,9,10,22,26,32,12,2121686796
23085,11,18,23,24,31,33,13,21257135
23084,9,13,14,17,19,27,3,21036335
23083,7,10,12,16,17,30,12,207170032
23082,4,18,19,24,27,30,16,2056167572
23081,1,11,15,16,22,31,15,20807430
23080,1,2,4,9,25,31,8,20525791
23079,5,6,9,12,21,22,7,204744307
23078,6,8,14,19,30,31,8,225046508
23077,7,9,14,22,26,27,1,233450916
23076,3,4,15,18,19,22,9,23226593
23075,13,15,24,28,30,31,1,231362553
23074,2,8,9,18,19,21,3,23105593
23073,1,3,15,16,25,32,10,22856283
23072,2,6,10,24,25,33,9,22579580
23071,5,12,15,19,24,26,6,2261306658
23070,3,5,25,31,32,33,4,229
23069,12,14,17,20,21,26,2,221637949
23068,11,12,15,18,29,33,2,217845169
23067,1,3,12,19,28,32,14,210331224
23066,2,7,8,10,26,31,6,2060647554
23065,2,14,17,20,26,33,14,210229947
23064,1,7,11,12,16,18,4,208162878
23063,4,8,17,20,22,27,13,2130039756
23062,11,19,23,24,26,33,15,2083569496
23061,1,4,6,11,12,22,15,2002747701
23060,9,11,17,19,30,31,11,194983713
23059,2,6,13,22,27,32,6,1922748082
23058,10,17,22,26,30,33,11,20297680
23057,2,5,10,17,24,32,3,2012616989
23056,8,14,15,18,23,33,8,206747876
23055,3,4,20,23,27,32,13,207685575
23054,5,6,9,10,15,26,12,20123861
23053,1,7,14,20,27,30,15,200435520
23052,3,4,5,8,12,17,6,199882896
23051,22,26,29,30,32,33,14,204164752
23050,2,7,9,14,22,23,5,197536805
23049,5,7,14,23,25,27,2,196160148
23048,2,3,10,24,28,30,8,1949270613
23047,5,7,14,23,31,33,7,1990369
23046,6,8,17,25,26,28,3,202804714
23045,3,6,12,21,27,28,4,2001600001
23044,2,8,15,22,24,26,16,20129480
23043,5,8,12,20,24,28,10,199696261
23042,10,17,20,23,27,30,10,204444303
23041,1,6,12,13,15,24,6,2049048265
23040,9,16,17,24,29,31,8,200688139
23039,2,3,9,13,19,28,9,197686067
23038,2,9,14,17,31,33,8,1948188487
23037,8,23,25,26,29,31,12,1956183761
23036,13,14,18,19,24,30,9,199313357
23035,1,4,9,10,20,33,6,2075773039
23034,2,3,9,11,12,17,15,207421957
23033,8,9,13,23,24,26,5,204229307
23032,6,19,20,26,28,33,1,2004521709
23031,7,14,27,29,31,33,5,203172458
23030,2,3,7,16,30,31,6,19847129
23029,3,7,12,24,28,33,8,196811930
23028,5,7,10,17,20,22,14,1940352740
23027,8,10,22,27,32,33,8,18871439
23026,1,18,26,30,31,33,3,186526083
23025,4,16,20,21,31,32,14,1861412948
23024,3,6,9,17,27,28,3,185711737
23023,5,8,10,15,24,25,9,19047153
23022,10,11,18,19,23,31,3,2109715322
23021,2,5,6,19,21,27,4,2042737116
23020,1,12,17,18,26,27,5,208331341
23019,6,12,26,28,29,32,15,202479119
23018,10,12,17,19,25,31,13,199608990
23017,5,11,18,20,26,28,12,191286986
23016,14,16,19,23,28,30,3,189049901
23015,2,3,14,21,29,32,8,184033799
23014,6,7,18,23,27,30,5,185521893
23013,6,10,14,22,23,33,13,183214798
23012,3,4,7,22,26,30,6,177607446
23011,6,7,16,17,21,22,4,179045757
23010,4,5,13,18,27,29,12,18133551
23009,3,4,19,23,30,32,6,1812003410
23008,5,13,18,20,26,28,6,175308758
23007,5,6,9,22,25,31,3,1745872298
23006,2,10,12,14,24,26,5,1711353726
23005,2,6,8,13,14,19,16,1726038229
23004,1,7,15,16,20,25,16,167083225
23003,5,8,18,25,30,32,6,165626180
23002,2,6,10,16,18,22,13,165204788
23001,9,16,18,22,28,32,2,163148585
22150,1,7,11,12,22,28,5,16137704
22149,2,22,26,29,32,33,14,16192102
22148,2,15,16,17,21,31,14,15961828
22147,2,3,7,13,20,30,10,158756585
22146,6,7,13,18,26,31,6,16436043
22145,3,21,25,30,31,33,11,165143125
22144,7,20,22,23,31,32,5,161518750
22143,7,8,13,29,30,33,3,1612687877
22142,1,3,13,16,21,27,3,163640639
22141,5,12,13,17,20,27,14,1674155872
22140,8,9,18,19,20,27,15,170264748
22139,6,7,9,16,17,19,14,175118113
22138,2,14,19,21,25,28,11,174497236
22137,8,21,23,27,28,33,1,169642700
22136,8,10,14,15,18,22,8,1678628784
22135,9,11,13,24,28,32,6,1733838061
22134,1,5,14,17,24,31,14,172899850
22133,5,8,16,17,21,25,12,1713363599
22132,1,3,18,26,32,33,4,169853041
22131,3,5,10,13,19,29,6,164063548
22130,2,8,15,17,26,28,12,168981320
22129,10,12,14,22,24,27,7,190846142
22128,3,12,18,24,27,29,1,1889014542
22127,3,4,9,10,29,33,13,1869259580
22126,1,13,15,17,26,33,13,180703868
22125,2,3,7,12,20,31,16,176266703
22124,5,10,13,18,24,26,1,1740587803
22123,10,13,16,20,21,25,5,16933270
22122,6,8,17,19,24,28,5,167705912
22121,12,17,22,27,30,31,2,176989253
22120,2,15,19,26,27,29,2,174235817
22119,2,5,15,18,26,27,4,189987354
22118,2,6,7,11,14,33,8,19105417
22117,4,13,17,18,28,29,6,190117745
22116,8,14,26,27,30,33,1,192341575
22115,6,7,18,20,27,29,9,184968192
22114,1,5,15,19,26,29,13,1986647604
22113,13,14,20,24,27,29,2,199163574
22112,3,5,8,17,25,31,1,193738578
22111,2,10,11,13,28,31,1,1901720272
22110,9,13,15,18,20,28,15,183636677
22109,4,11,13,19,22,33,11,18111615
22108,1,7,13,17,18,31,15,1790162397
22107,3,9,11,15,19,28,16,179407747
22106,17,20,22,23,24,31,1,180082063